catalog_id, system_name    , planet_name      , measurement_version, record_type, catalog_status, discovery_year, discovery_method, discovery_facility   , source_team        , distance_light_years, distance_entry_mixed_units, star_type, star_mass_solar, star_radius_solar, star_temperature_k, stellar_activity, planet_class, planet_radius_earth, planet_radius_error_plus, planet_radius_error_minus, planet_mass_earth, planet_mass_error_plus, planet_mass_error_minus, orbital_period_days, semi_major_axis_au, eccentricity, equilibrium_temperature_k, transit_depth_ppm, signal_strength, detection_confidence_pct, atmosphere_hint         , liquid_water_index, moon_candidate_count, ring_candidate, anomaly_flag              , follow_up_priority, data_quality_grade, last_observed_date, observer_note
XPS-AAFV  , Astra One      , Astra One-t      ,                   1, primary    , Provisional   ,           2008, Transit         , Orbital Lens Network , Aurora Lab         ,              7311.75, 2250.0 pc                 , K        ,                ,             0.891,             4828.5, Moderate        , Rocky       ,               0.469,                    0.074,                     0.055,             0.123,                  0.056,                   0.048,              3.3387,             0.0415,       0.2182,                    1158.3,              23.2,            8.44,                    62.18, Carbon dioxide candidate,              0.000,                    0, No            , Variable transit depth    , Low               , B                 , 2013-02-19        , A faint secondary signal appears in some observations.
XPS-AAFW  , Orin Sigma     , Orin Sigma-f     ,                   1, Follow-up  , Confirmed     ,           1996, Transit         , Orbital Lens Network , Blue Orbit Group   ,              7314.45, 7314.5 ly                 , M        ,           0.257,             0.354,             3428.5, Moderate        , Desert World,               0.679,                    0.075,                     0.078,             0.350,                       ,                        ,           4333.6644,             3.3090,       0.0081,                      59.2,             308.0,            5.61,                    69.00, Water vapor candidate   ,              0.071,                    0, No            , None                      , Medium            , A                 , 2014-07-18        , The host star varies across the observation cycle.
XPS-AAFX  , Neris B        , Neris B-p        ,                   1, Primary    , Disputed      ,           1995, TRANSIT         , SkyScan Array        , Aurora Lab         ,               149.54, 149.5 ly                  , F        ,                ,             1.476,             6141.9, Moderate        , Gas Giant   ,              10.321,                    0.938,                     0.679,           225.000,                 27.570,                        ,           1217.3563,             2.5618,       0.0034,                     233.7,            4099.2,           27.26,                    81.96,                         ,              0.166,                    4, No            , Variable transit depth    , Medium            , A                 , 2025-01-12        , The orbit may be tilted relative to the star.
XPS-AAFY  , Astra One      , Astra One-t      ,                   2, Primary    , Provisional   ,           2017, Radial Velocity , Highland Spectrograph, Aurora Lab         ,              2258.26, 2258.3 ly                 , K        ,           0.754,             0.778,             4374.9, Quiet           , Mini-Neptune,               2.040,                    0.011,                          ,                  ,                  3.407,                   0.423,            522.8234,                   ,       0.0584,                     156.0,             606.8,            5.64,                    67.51, Water vapor candidate   ,              0.369,                     , No            , Variable transit depth    , High              , B                 , 2024-02-15        , The system may contain another unseen world.
XPS-AAFZ  , Rhea South     , Rhea South-m     ,                   1, Primary    , Confirmed     ,           1998, Radial Velocity , Red Mesa Array       , Blue Orbit Group   ,                14.04, 14.0 ly                   , K        ,           0.726,             0.792,             4340.3, Moderate        , Rocky       ,               0.702,                    0.106,                          ,             0.337,                  0.053,                   0.053,            267.6692,                   ,       0.0835,                     237.2,              65.9,           12.42,                    78.56,                         ,              1.000,                    0, No            , None                      , Urgent            , A                 , 02/17/2024        , The orbit may be tilted relative to the star.
XPS-AAGA  , Rhea Minor     , Rhea Minor-w     ,                   1, Primary    , Provisional   ,           2024, Transit         , NORTH RIDGE ARRAY    , Sky Atlas Team     ,              4376.92, 4376.9 ly                 , G        ,           1.074,             1.060,             6061.1, Active          , Rocky       ,               1.432,                    0.102,                     0.083,                  ,                  0.419,                   0.497,           2650.8904,             3.8390,             ,                     144.1,                  ,           14.69,                    63.23, Water vapor candidate   ,              0.274,                    0, No            , None                      , Medium            , B                 , 2014-09-30        , A faint secondary signal appears in some observations.
XPS-AAGB  , Selene North   , Selene North-b   ,                   1, Primary    , Confirmed     ,           2023, Microlensing    , Southern Lens Grid   , Blue Orbit Group   ,               306.34, 306.3 ly                  , K        ,           0.629,             0.696,             4725.0, Moderate        , Mini-Neptune,               2.182,                         ,                     0.103,             5.550,                  0.206,                   0.522,           4273.6981,             4.4159,       0.2079,                      87.9,             824.2,           74.14,                    75.59,                         ,              0.142,                    0, No            , None                      , Low               , C                 , 2017-08-03        , The record includes a later reanalysis.
XPS-AAGC  , Caeli Tertia   , Caeli Tertia-w   ,                   1, Primary    , Confirmed     ,           2000, Transit         , North Ridge Array    , Pacific Lens Group ,               204.42, 204.4 ly                  , Subgiant ,           1.328,             1.287,             4527.4, MODERATE        , Ocean World ,               1.199,                    0.156,                     0.034,             2.735,                  0.456,                   0.142,            507.8454,             1.3694,       0.0720,                     235.0,              72.8,           90.42,                    94.08,                         ,              1.000,                    0, No            , None                      , High              , D                 , 2023/05/18        , The record includes a later reanalysis.
XPS-AAGD  , Astra One      , Astra One-k      ,                   1, Primary    , Confirmed     ,           2015, Astrometry      , Vector Star Mapper   , Pacific Lens Group ,               878.69, 878.7 ly                  , K        ,           0.759,             0.805,             5062.7, Moderate        , Ice Giant   ,               5.512,                    0.921,                     0.800,            95.000,                  0.977,                   3.465,            129.4728,             0.4569,       0.0425,                     356.4,            3936.5,           10.70,                    77.08,                         ,              0.131,                    0, No            , Unusual dimming           , Medium            , B                 , 2020-07-14        , Stellar noise complicates the mass estimate.
XPS-AAGE  , Mira Two       , Mira Two-p       ,                   1, Follow-up  , Confirmed     ,           1999, Radial Velocity , Red Mesa Array       , Blue Orbit Group   ,                12.25, 3.8 pc                    , F        ,           1.246,             1.200,             7395.1, Active          , Rocky       ,               0.910,                    0.012,                     0.094,             0.585,                  0.033,                   0.071,             60.5234,             0.3246,       0.2905,                          ,              48.2,            6.87,                    63.31, Hydrogen-rich           ,              0.001,                    0, No            , None                      , Low               , B                 , 2012-07-08        , The host star varies across the observation cycle.
XPS-AAGF  , Astra Delta    , Astra Delta-e    ,                   1, Primary    , CONFIRMED     ,           2020, Radial Velocity , Solis Observatory    , Sky Atlas Team     ,               337.48, 337.5 ly                  , F        ,           1.188,             1.150,             6205.1, Moderate        , Ocean World ,               0.851,                    0.060,                     0.111,             1.008,                  0.171,                   0.227,              1.8870,             0.0316,       0.0907,                     420.0,              45.9,            7.63,                    73.99, Cloud-dominated         ,              0.334,                    0, No            , Unusual dimming           , Medium            , B                 , 2012-08-24        , No unusual note was reported.
XPS-AAGG  , Orin Delta     , Orin Delta-k     ,                   1, Reanalysis , Confirmed     ,           2016, Transit         , SkyScan Array        , Meridian Study     ,              2738.82, 2738.8 ly                 , K        ,           0.675,             0.698,             5032.4, Moderate        , Gas Giant   ,              14.970,                    2.349,                     1.189,                  ,                 77.307,                  67.287,          10658.4419,                   ,       0.1409,                      69.5,           38542.6,           71.28,                    79.22, Cloud-dominated         ,              0.016,                    4, No            , None                      , Low               , ?                 , 07/24/2022        , Transit timing varies across observation windows.
XPS-AAGH  , Selene A       , Selene A-y       ,                   1, Primary    , Provisional   ,           2021, Transit         , North Ridge Array    , North Ridge Team   ,                39.92, 12.2 pc                   , F        ,           1.148,             1.135,             6949.1, Active          , Gas Giant   ,              11.572,                    1.110,                     0.231,          1900.000,                       ,                        ,            279.7106,             0.8765,       0.0852,                     359.4,            8711.1,           10.60,                    78.70, Hydrogen-rich           ,              0.137,                    0, No            , Variable transit depth    , Medium            , D                 , 2011-02-28        , The orbit may be tilted relative to the star.
XPS-AAGJ  , Auron North    , Auron North-c    ,                   1, Primary    , Confirmed     ,           2005, Radial Velocity , Red Mesa Array       , Blue Orbit Group   ,               151.20, 151.2 ly                  , K        ,           0.697,             0.729,             4014.1, MODERATE        , Mini-Neptune,               4.157,                    0.580,                     0.531,            30.000,                  7.987,                   3.194,             53.5705,             0.2466,       0.5069,                     320.0,            2728.4,            3.29,                    65.65,                         ,              0.773,                    0, No            , None                      , Urgent            , B                 , 2024-08-10        , The distance entry uses a converted unit.
XPS-AAGK  , Orin Two       , Orin Two-u       ,                   1, Primary    , Provisional   ,           2004, Radial Velocity , Highland Spectrograph, Meridian Study     ,                23.10, 7.1 pc                    , A        ,           1.955,             1.718,             8115.5, Active          , Gas Giant   ,              16.048,                    2.599,                     0.794,          1578.769,                346.999,                 311.491,            752.1552,             2.0238,       0.1316,                     322.5,            7317.8,            9.92,                    73.87, Hydrogen-rich           ,              0.138,                    2, No            , None                      , Low               , B                 , 2014-04-16        , The atmospheric result has low certainty.
XPS-AAGL  , Mira Prime     , Mira Prime-y     ,                   1, Primary    , Confirmed     ,           2015, Radial Velocity , Highland Spectrograph, Meridian Study     ,              8772.85, 2658.5 pc                 , G        ,           1.076,             1.063,             6069.0, Moderate        , Super-Earth ,               1.614,                    0.141,                     0.035,             2.000,                  0.408,                   0.081,           3732.1701,             4.8258,       0.3498,                     136.3,             193.4,           16.93,                    79.92, No clear signal         ,              0.274,                    0, No            , None                      , Medium            , B                 , 2012-05-31        , Two observing teams reported slightly different radii.
XPS-AAGM  , Orin Major     , Orin Major-p     ,                   2, Primary    , Confirmed     ,           1996, Transit         , orbital lens network , Solis Research Unit,               109.50, 33.6 pc                   , F        ,           1.158,             1.127,             6551.7, Moderate        , Desert World,               0.910,                    0.018,                     0.011,                  ,                  0.134,                        ,              3.0603,             0.0433,       0.0920,                    1676.6,              56.4,           26.37,                    77.63, Sodium signature        ,              0.000,                    0, No            , None                      , Low               , C                 , 03/08/2015        , Several measurements are absent from the early record.
XPS-AAGN  , Solis A        , Solis A-t        ,                   1, Primary    , Confirmed     ,           2005, Direct Imaging  , Polar Optics Array   , Blue Orbit Group   ,               125.15, 125.1 ly                  , K        ,           0.801,             0.848,             4237.5, Moderate        , Rocky       ,               1.352,                    0.090,                     0.087,             1.719,                  0.289,                   0.182,           3316.4793,             4.0425,       0.1997,                      91.9,             213.2,           42.57,                    79.28, Cloud-dominated         ,              0.127,                    0, No            , None                      , Low               , ?                 , 2015-10-10        , The distance entry uses a converted unit.
XPS-AAGP  , Orin Two       , Orin Two-b       ,                   1, Primary    , confirmed     ,           1998, Radial Velocity , Red Mesa Array       , Sky Atlas Team     ,              2678.26, 2678.3 ly                 , G        ,           1.047,             1.035,             5312.7, quiet           , Rocky       ,               1.372,                    0.058,                     0.126,             3.458,                  0.513,                   0.698,            852.1415,             1.7870,       0.1227,                     208.5,             147.4,            4.24,                    71.65,                         ,              0.824,                    0, No            , None                      , High              , A                 , 2024-09-29        , A faint secondary signal appears in some observations.
XPS-AAGQ  , Noma Major     , Noma Major-c     ,                   1, Primary    , Confirmed     ,           2002, Transit         , SkyScan Array        , Blue Orbit Group   ,               469.37, 143.9 pc                  , K        ,           0.650,             0.725,             4783.2, Active          , Mini-Neptune,               3.403,                         ,                     0.485,                  ,                  2.790,                        ,           2184.5138,             2.8540,       0.2820,                     116.5,            1849.0,           17.13,                    69.53, Methane candidate       ,              0.223,                    0, No            , None                      , Medium            , B                 , 02/29/2024        , Follow-up data changed the estimated year length.
XPS-AAGR  , Neris Sigma    , Neris Sigma-q    ,                   1, Primary    , Confirmed     ,           1995, Transit         , NORTH RIDGE ARRAY    , Solis Research Unit,                42.55, 42.5 ly                   , K        ,           0.750,             0.789,             4781.1, Quiet           , Ice Giant   ,               3.427,                    0.108,                     0.345,            35.480,                  2.171,                   5.813,              3.3569,             0.0399,       0.2666,                     905.0,            1582.8,           24.94,                    76.66, Carbon dioxide candidate,              0.000,                     , No            , Orbital drift             , Low               , C                 , 2021-12-24        , The orbit may be tilted relative to the star.
XPS-AAGS  , Vela A         , Vela A-y         ,                   1, Primary    , Archived      ,           1995, Transit         , SkyScan Array        , Caeli Survey       ,               725.51, 725.5 ly                  , A        ,           2.142,             1.912,             9313.6, Moderate        , Mini-Neptune,               2.104,                    0.260,                     0.052,             5.000,                  0.973,                   1.087,           6300.6167,             8.6061,       0.1590,                     215.4,             101.6,           10.80,                    75.69, No clear signal         ,              0.700,                     , No            , None                      , High              , C                 , 2011-08-28        , The record includes a later reanalysis.
XPS-AAGT  , Rhea Quarta    , Rhea Quarta-q    ,                   1, Follow-up  , Confirmed     ,           2019, Transit Timing  , Clockwork Survey     , Meridian Study     ,                16.26, 5.0 pc                    , K        ,           0.587,             0.630,             4345.5, Moderate        , Lava World  ,               0.987,                    0.144,                     0.093,             0.710,                  0.177,                   0.099,              7.5558,             0.0631,       0.3348,                    2398.8,             205.7,           45.23,                    80.11, Water vapor candidate   ,              0.000,                    1, No            , None                      , Medium            , C                 , 2024-04-22        , Stellar noise complicates the mass estimate.
XPS-AAGU  , Talos Prime    , Talos Prime-d    ,                   1, Primary    , Confirmed     ,           2001, Transit         , SkyScan Array        , North Ridge Team   ,               912.99, 913.0 ly                  , G        ,           1.024,             1.021,             5274.4, Moderate        , Gas Giant   ,              11.702,                    0.614,                          ,          1900.000,                253.999,                        ,           6994.8781,             7.1459,       0.0724,                      87.3,           11016.8,           15.72,                    59.01, Hydrogen-rich           ,              0.024,                    0, No            , None                      , Low               , C                 , 2012-01-31        , Cloud cover may hide key atmospheric signals.
XPS-AAGV  , Altara Quarta  , Altara Quarta-d  ,                   1, PRIMARY    , CONFIRMED     ,           2000, RADIAL VELOCITY , Highland Spectrograph, Sky Atlas Team     ,                 5.70, 1.7 pc                    , K        ,           0.660,             0.731,             4005.5, Quiet           , MINI-NEPTUNE,               2.385,                    0.234,                     0.288,            11.556,                  2.818,                   0.990,              5.1845,             0.0511,             ,                          ,                  ,           29.77,                    81.16, No clear signal         ,              0.000,                    0, No            , Unexpected infrared excess, Low               , A                 , 2018-06-26        , Two observing teams reported slightly different radii.
XPS-AAGW  , Altara South   , Altara South-x   ,                   1, Primary    , Confirmed     ,           2004, Radial Velocity , Solis Observatory    , Solis Research Unit,               312.55, 95.8 pc                   , K        ,           0.615,             0.666,             4764.1, Moderate        , Gas Giant   ,               7.591,                    0.813,                     0.857,           219.801,                 29.546,                        ,            377.8323,             0.8700,       0.2507,                     177.4,           10895.5,           10.62,                    75.38, Cloud-dominated         ,              0.079,                    0, No            , None                      , Low               , A                 , 2015-03-15        , The record includes a later reanalysis.
XPS-AAGX  , Mira Sigma     , Mira Sigma-y     ,                   1, Reanalysis , Provisional   ,           2020, Radial Velocity , Solis Observatory    , Sky Atlas Team     ,               228.61, 228.6 ly                  , F        ,           1.411,             1.331,             6136.8, Highly active   , Mini-Neptune,               3.956,                    0.562,                     0.496,            30.000,                  7.116,                        ,              5.4769,             0.0690,             ,                    1325.9,             740.4,            5.42,                    72.72,                         ,              0.000,                    0, No            , None                      , Low               , B                 , 2012-09-09        , The orbit may be tilted relative to the star.
XPS-AAGY  , Rhea One       , Rhea One-n       ,                   1, Primary    , Confirmed     ,           2013, Transit         , Aurora Survey        , Meridian Study     ,                19.02,                           , G        ,           0.885,             0.905,             5227.7, Moderate        , Rocky       ,               0.648,                    0.046,                     0.067,             0.336,                       ,                        ,            184.1354,             0.6082,             ,                     327.2,              42.9,            4.31,                    64.74, No clear signal         ,              0.822,                    0, No            , variable transit depth    , High              , B                 , 2015-09-28        , The orbit may be tilted relative to the star.
XPS-AAGZ  , Novae North    , Novae North-w    ,                   1, Primary    , Confirmed     ,           2021, Radial Velocity , Red Mesa Array       , North Ridge Team   ,               341.87, 104.8 pc                  , M        ,           0.154,             0.181,             2942.6, Quiet           , Super-Earth ,               1.677,                    0.297,                     0.072,             6.112,                       ,                   0.948,              5.3726,             0.0322,       0.1694,                     323.5,            7242.1,           20.22,                    82.48,                         ,              0.850,                    0, No            , None                      , High              , B                 , 2015-08-10        , Cloud cover may hide key atmospheric signals.
XPS-AAHA  , Altara Sigma   , Altara Sigma-f   ,                   1, Primary    , Confirmed     ,           2002, Transit         , SkyScan Array        , Pacific Lens Group ,                21.00, 21.0 ly                   , K        ,           0.635,             0.650,             5015.3, Active          , Rocky       ,               0.629,                    0.033,                     0.069,             0.441,                  0.105,                   0.084,           1269.8814,             1.9715,       0.4870,                          ,              78.7,            5.95,                    79.04, No clear signal         ,              0.276,                    0, No            , Asymmetric transit        , Medium            , B                 , 2011-01-12        , The system may contain another unseen world.
XPS-AAHB  , Rhea Minor     , Rhea Minor-w     ,                   2, Primary    , Confirmed     ,           2020, Transit Timing  , Long View Network    , Caeli Survey       ,                 5.64, 1.7 pc                    , M        ,           0.541,                  ,             3065.7, Quiet           , Mini-Neptune,               3.102,                    0.363,                     0.177,            12.857,                  1.662,                   2.810,            177.7763,             0.5037,             ,                     138.7,            2326.7,            7.29,                    53.95,                         ,              0.383,                    0, No            , None                      , High              , D                 , 2019-10-09        , Cloud cover may hide key atmospheric signals.
XPS-AAHC  , Arden Prime    , Arden Prime-x    ,                   1, Primary    , Confirmed     ,           2024, Radial Velocity , Red Mesa Array       , Sky Atlas Team     ,               298.65, 298.7 ly                  , k        ,           0.658,             0.675,             4704.6, Moderate        , Mini-Neptune,               3.636,                    0.077,                     0.223,            30.000,                  1.161,                   2.192,            533.9088,             1.1200,       0.3696,                     184.0,            2432.3,           11.24,                    62.81, Sodium signature        ,                   ,                    0, No            , None                      , medium            , B                 , 2019-08-05        , Stellar noise complicates the mass estimate.
XPS-AAHD  , Astra C        , Astra C-p        ,                   1, Primary    , Confirmed     ,           2010, Astrometry      , Meridian Mapper      , Sky Atlas Team     ,                54.01, 54.0 ly                   , M        ,           0.535,             0.591,             2847.0, Active          , Super-Earth ,               1.956,                    0.325,                     0.220,             9.788,                  0.628,                        ,           1087.4496,             1.6900,       0.4796,                      79.5,                  ,            5.06,                    89.09,                         ,              0.125,                    0, No            , None                      , Medium            , D                 , 2021-02-19        , No unusual note was reported.
XPS-AAHE  , Mira Minor     , Mira Minor-m     ,                   1, Primary    , Confirmed     ,           2015, Microlensing    , Pacific Field Network, Pacific Lens Group ,               198.91, 198.9 ly                  , M        ,           0.208,             0.250,             2809.0, Moderate        , Rocky       ,               1.341,                    0.238,                     0.149,             1.143,                  0.282,                   0.220,           1699.0225,                   ,       0.2363,                      49.3,            2418.9,           23.24,                    75.73, No clear signal         ,              0.046,                    0, No            , None                      , Low               , A                 , 2016-02-04        , The record includes a later reanalysis.
XPS-AAHF  , Rhea Sigma     , Rhea Sigma-v     ,                   1, primary    , Confirmed     ,           2016, Transit Timing  , Clockwork Survey     , Aurora Lab         ,               739.30, 739.3 ly                  , K        ,           0.816,             0.854,             4803.4, active          , Mini-Neptune,               2.515,                    0.093,                     0.038,             7.467,                  0.765,                   1.478,           8734.5099,             7.7549,             ,                      74.0,             727.2,           14.48,                    64.33, Carbon dioxide candidate,              0.116,                    0, No            , None                      , Low               , C                 , 2013-07-27        , The orbit may be tilted relative to the star.
XPS-AAHG  , Altara Sigma   , Altara Sigma-x   ,                   1, Primary    , Confirmed     ,           2017, Transit         , North Ridge Array    , Blue Orbit Group   ,              1319.66, 404.6 pc                  , M        ,           0.448,             0.487,             3588.6, Moderate        , Gas Giant   ,              17.932,                    0.346,                     2.603,                  ,                       ,                  63.192,             89.7623,             0.3001,       0.0115,                     209.5,          113504.2,           11.60,                    67.94, Cloud-dominated         ,              0.140,                    1, No            , Asymmetric transit        , Medium            , A                 , 2011-10-24        , Stellar noise complicates the mass estimate.
XPS-AAHH  , Cetus Major    , Cetus Major-k    ,                   1, follow-up  , Confirmed     ,           2014, Pulsar Timing   , Radio Arc Array      , Pacific Lens Group ,                64.08, 64.1 ly                   , G        ,           1.019,             1.016,             5617.4, Quiet           , Mini-Neptune,               4.540,                    0.400,                     0.513,            19.784,                  1.599,                        ,            136.2114,             0.5213,             ,                          ,            1674.4,           14.07,                    82.37, Carbon dioxide candidate,              0.380,                    0, No            , None                      , Low               , C                 , 2012-11-15        , The atmospheric result has low certainty.
XPS-AAHJ  , Cetus Minor    , Cetus Minor-p    ,                   1, Primary    , confirmed     ,           2001, Microlensing    , Southern Lens Grid   , Solis Research Unit,                30.28, 30.3 ly                   , G        ,           0.952,             0.957,             5464.4, Quiet           , Gas Giant   ,              14.053,                    0.166,                     1.889,          1900.000,                301.756,                 227.434,            370.2537,             0.9928,       0.3609,                     271.2,                  ,           31.37,                    72.47, Sodium signature        ,              0.145,                    0, No            , None                      , Low               , C                 , 2017-01-24        , The host star varies across the observation cycle.
XPS-AAHK  , Talos Sigma    , Talos Sigma-m    ,                   1, Primary    , Confirmed     ,           1997, Transit         , North Ridge Array    , Pacific Lens Group ,              6465.34, 6465.3 ly                 , G        ,           0.951,             0.958,             5990.1, Active          , Super-Earth ,               1.619,                    0.025,                     0.051,             3.875,                  0.669,                        ,           7119.9080,             7.1227,       0.1783,                     118.4,             239.7,           35.57,                    80.73, Oxygen candidate        ,              0.248,                    0, No            , Orbital drift             , High              , B                 , 2017-05-02        , The orbit may be tilted relative to the star.
XPS-AAHL  , Rhea Quarta    , Rhea Quarta-q    ,                   1, Primary    , Confirmed     ,           2017, Astrometry      , Meridian Mapper      , Sky Atlas Team     ,             10872.21, 3333.4 pc                 , K        ,           0.732,             0.778,             4382.7, Moderate        , Rocky       ,               0.557,                    0.011,                     0.063,             0.163,                  0.066,                   0.057,             54.6265,             0.2539,       0.1337,                     336.8,                  ,           20.43,                    84.87,                         ,              0.690,                    0, No            , ASYMMETRIC TRANSIT        , urgent            , B                 , 2015-02-11        , No unusual note was reported.
XPS-AAHM  , Lyra North     , Lyra North-k     ,                   1, Primary    , Confirmed     ,           2025, Radial Velocity , Solis Observatory    , Caeli Survey       ,                26.39, 8.1 pc                    , M        ,           0.287,             0.333,             2870.6, Moderate        , Mini-Neptune,               3.451,                    0.054,                     0.436,            26.664,                       ,                   2.780,             57.0093,             0.1913,       0.0372,                          ,                  ,           10.45,                    72.53, Hydrogen-rich           ,              0.646,                    0, No            , None                      , Medium            , B                 , 2016-10-02        , The host star varies across the observation cycle.
XPS-AAHN  , Mira Two       , Mira Two-g       ,                   1, Primary    , Confirmed     ,           2002, Transit         , Orbital Lens Network , Meridian Study     ,             11420.10, 11420.1 ly                , F        ,           1.449,             1.330,             7243.1, Moderate        , SUPER-EARTH ,               2.019,                    0.259,                          ,             6.979,                       ,                   0.159,              1.7090,             0.0317,       0.2728,                    2299.1,             193.2,            9.89,                    69.00, Sodium signature        ,              0.000,                    1, Yes           , Possible ring system      , LOW               , A                 , 2025/05/27        , The distance entry uses a converted unit.
XPS-AAHP  , Luma Delta     , Luma Delta-c     ,                   2, Primary    , Confirmed     ,           2010, Transit         , North Ridge Array    , Pacific Lens Group ,              6637.83, 6637.8 ly                 , M        ,           0.289,             0.309,             2791.8, Highly active   , Lava World  ,               0.716,                    0.092,                     0.050,             0.227,                  0.025,                   0.079,             32.8847,             0.1326,       0.0898,                    1766.8,             441.9,           14.80,                    69.41, No clear signal         ,              0.000,                    0, No            , UNEXPECTED INFRARED EXCESS, Low               , B                 , 2024-05-18        , Two observing teams reported slightly different radii.
XPS-AAHQ  , Selene A       , Selene A-y       ,                   1, Primary    , Confirmed     ,           2000, Radial Velocity , Red Mesa Array       , Caeli Survey       ,               932.65, 932.6 ly                  , M        ,           0.373,             0.481,             3582.5, Active          , Mini-Neptune,               3.381,                    0.169,                     0.354,            25.969,                  2.925,                        ,             75.0939,             0.2509,       0.0469,                     258.4,            4142.3,           12.41,                    75.21, Water vapor candidate   ,              0.836,                    0, No            , None                      , Urgent            , B                 , 2018-04-16        , Two observing teams reported slightly different radii.
XPS-AAHR  , Luma Major     , Luma Major-e     ,                   1, Follow-up  , Confirmed     ,           2014, Transit         , SkyScan Array        , Pacific Lens Group ,               149.97, 150.0 ly                  , K        ,           0.581,             0.620,             4962.3, Quiet           , Lava World  ,               0.561,                    0.077,                     0.042,             0.287,                  0.033,                   0.047,            933.4529,             1.5602,       0.0193,                    1206.6,              69.0,           14.75,                    81.85, Sodium signature        ,              0.000,                    0, No            , None                      , Low               , B                 , 2019-02-18        , Several measurements are absent from the early record.
XPS-AAHS  , Altara Minor   , Altara Minor-s   ,                   1, Primary    , archived      ,           1997, Transit         , North Ridge Array    , Blue Orbit Group   ,              7634.25, 7634.3 ly                 , M        ,           0.217,             0.234,             2761.5, Highly active   , Mini-Neptune,               2.557,                         ,                     0.137,             7.891,                  1.690,                   1.553,          15948.4150,             7.4497,       0.0233,                      23.7,            9983.7,           10.96,                    85.99, Water vapor candidate   ,                   ,                    0, No            , Unusual dimming           , Medium            , A                 , 2017-12-07        , The host star varies across the observation cycle.
XPS-AAHT  , Solis B        , Solis B-s        ,                   2, Primary    , Confirmed     ,           2020, Microlensing    , Southern Lens Grid   , Caeli Survey       ,                33.91, 10.4 pc                   , A        ,           1.908,                  ,             9007.8, Active          , Rocky       ,               1.215,                    0.146,                     0.097,             2.000,                  0.283,                   0.098,           1870.7912,             3.6759,       0.0346,                     336.3,                  ,           20.69,                    71.35, Methane candidate       ,              0.969,                    0, No            , Possible moon signal      , Urgent            , C                 , 2011-02-11        , Transit timing varies across observation windows.
XPS-AAHU  , Vela Minor     , Vela Minor-b     ,                   1, Primary    , Provisional   ,           2022, Radial Velocity , Highland Spectrograph, Solis Research Unit,              6790.10, 6790.1 ly                 , K        ,           0.607,             0.633,             4853.6, Quiet           , Mini-Neptune,               2.413,                    0.060,                     0.037,             9.002,                  1.379,                   0.115,            146.1958,             0.4600,       0.2993,                     269.1,                  ,           17.87,                    75.80, Water vapor candidate   ,              1.000,                     , No            , None                      , Urgent            , B                 , 2022-03-04        , Follow-up data changed the estimated year length.
XPS-AAHV  , Luma North     , Luma North-n     ,                   1, Primary    , Confirmed     ,           2022, Transit Timing  , Multi-World Array    , Solis Research Unit,               563.74, 563.7 ly                  , M        ,           0.175,             0.271,             3443.6, Active          , Mini-Neptune,               2.733,                    0.183,                     0.295,                  ,                  0.651,                   2.241,             17.9696,             0.0752,       0.0098,                     301.7,            8540.4,           31.70,                    66.08, Methane candidate       ,              0.809,                    0, No            , unexpected infrared excess, Urgent            , A                 , 2013-05-30        , Two observing teams reported slightly different radii.
XPS-AAHW  , Tarin Prime    , Tarin Prime-g    ,                   1, Primary    , Confirmed     ,           2012, Direct Imaging  , Summit Imager        , Aurora Lab         ,              4276.74, 4276.7 ly                 , M        ,           0.151,             0.251,             3677.6, active          , Mini-Neptune,               3.256,                    0.484,                     0.329,            30.000,                  3.564,                   3.092,         128120.9665,            26.4693,       0.0619,                      15.6,           14097.5,           19.44,                    87.00, Water vapor candidate   ,              0.023,                    0, No            , None                      , Medium            , B                 , 2015-02-11        , The atmospheric result has low certainty.
XPS-AAHX  , Cyra Tertia    , Cyra Tertia-c    ,                   1, PRIMARY    , Confirmed     ,           2003, Transit Timing  , Clockwork Survey     , Meridian Study     ,              5954.15, 5954.1 ly                 , K        ,           0.690,             0.723,             4334.4, QUIET           , Rocky       ,               1.373,                    0.020,                     0.064,             2.793,                  0.155,                   0.535,           1193.1704,             1.9459,       0.1138,                     129.1,             302.9,            5.11,                    65.83, Water vapor candidate   ,              0.281,                    0, No            , None                      , Medium            , A                 , 2014-07-21        , Cloud cover may hide key atmospheric signals.
XPS-AAHY  , Neris Delta    , Neris Delta-q    ,                   1, Primary    , Provisional   ,           2002, Radial Velocity , Highland Spectrograph, Meridian Study     ,                54.72, 16.8 pc                   , G        ,           1.061,             1.052,             5891.4, Active          , Mini-Neptune,               2.015,                    0.135,                     0.054,            12.326,                  0.722,                   0.335,           2358.3415,             3.5369,             ,                     165.0,             307.4,           20.45,                    75.24, Water vapor candidate   ,              0.438,                    0, No            , Asymmetric transit        , Urgent            , B                 , 2012-02-19        , The orbit may be tilted relative to the star.
XPS-AAHZ  , Eris Prime     , Eris Prime-w     ,                   1, Primary    , Confirmed     ,           2005, Transit         , North Ridge Array    , Blue Orbit Group   ,                57.73, 57.7 ly                   , M        ,           0.339,             0.419,             3229.0, Highly active   , Gas Giant   ,              13.853,                    1.334,                     1.442,          1900.000,                       ,                 129.580,          10726.9411,             6.6391,       0.1756,                          ,           91556.1,           10.69,                    70.69,                         ,              0.006,                    0, No            , Unusual dimming           , Medium            , A                 , 2014-08-24        , The orbit may be tilted relative to the star.
